StandortID,Periode,Probenahmedatum,Jahr,Probenart,Parameter,Wert
831,1,1999-12-16,1999,OBER-0-20,PBT_PPM,150.19435
831,1,1999-12-16,1999,UNTER40-60,PBT_PPM,38.7492
831,1,1999-12-16,1999,OBER-0-20,PHCA,6.885
831,1,1999-12-16,1999,UNTER40-60,PHCA,6.83
831,1,1999-12-16,1999,OBER-0-20,ZNT_PPM,289.6
831,1,1999-12-16,1999,UNTER40-60,ZNT_PPM,81.7491
831,2,2004-12-09,2004,OBER-0-20,CDT_PPM,1.038
831,2,2004-12-09,2004,UNTER40-60,CDT_PPM,0.491
831,2,2004-12-09,2004,OBER-0-20,CRT_PPM,41
831,2,2004-12-09,2004,UNTER40-60,CRT_PPM,40.5
831,2,2004-12-09,2004,OBER-0-20,CUT_PPM,115.5
831,2,2004-12-09,2004,UNTER40-60,CUT_PPM,55.2
831,2,2004-12-09,2004,OBER-0-20,Hg_AMA_PPM,1.1886
831,2,2004-12-09,2004,OBER-0-20,HGT_PPM,0.832
831,2,2004-12-09,2004,UNTER40-60,HGT_PPM,0.4248
831,2,2004-12-09,2004,OBER-0-20,NIT_PPM,33.1
831,2,2004-12-09,2004,UNTER40-60,NIT_PPM,41.6
831,2,2004-12-09,2004,OBER-0-20,ORG_SUB,11.361885
831,2,2004-12-09,2004,OBER-0-20,PBT_PPM,148
831,2,2004-12-09,2004,UNTER40-60,PBT_PPM,76
831,2,2004-12-09,2004,OBER-0-20,ZNT_PPM,305
831,2,2004-12-09,2004,UNTER40-60,ZNT_PPM,147.3
831,3,2009-10-22,2009,OBER-0-20,CDT_PPM,1.07
831,3,2009-10-22,2009,UNTER40-60,CDT_PPM,0.347
831,3,2009-10-22,2009,OBER-0-20,CRT_PPM,40.4
831,3,2009-10-22,2009,UNTER40-60,CRT_PPM,38
831,3,2009-10-22,2009,OBER-0-20,CUT_PPM,133
831,3,2009-10-22,2009,UNTER40-60,CUT_PPM,52.9
831,3,2009-10-22,2009,OBER-0-20,Hg_AMA_PPM,1.24
831,3,2009-10-22,2009,OBER-0-20,HGT_PPM,0.9
831,3,2009-10-22,2009,UNTER40-60,HGT_PPM,0.28
831,3,2009-10-22,2009,OBER-0-20,NIT_PPM,32.8
831,3,2009-10-22,2009,UNTER40-60,NIT_PPM,41.6
831,3,2009-10-22,2009,OBER-0-20,ORG_SUB,12.45036
831,3,2009-10-22,2009,UNTER40-60,ORG_SUB,3.267495
831,3,2009-10-22,2009,OBER-0-20,PBT_PPM,134.7
831,3,2009-10-22,2009,UNTER40-60,PBT_PPM,51
831,3,2009-10-22,2009,OBER-0-20,PHCA,6.87
831,3,2009-10-22,2009,UNTER40-60,PHCA,6.93
831,3,2009-10-22,2009,OBER-0-20,ZNT_PPM,315.4
831,3,2009-10-22,2009,UNTER40-60,ZNT_PPM,115.1
831,4,2014-11-20,2014,OBER-0-20,CDT_PPM,0.95
831,4,2014-11-20,2014,OBER-0-20,CUT_PPM,127
831,4,2014-11-20,2014,OBER-0-20,Hg_AMA_PPM,1.5151
831,4,2014-11-20,2014,UNTER40-60,Hg_AMA_PPM,0.4089
831,4,2014-11-20,2014,OBER-0-20,HGT_PPM,0.725
831,4,2014-11-20,2014,OBER-0-20,NIT_PPM,29.1
831,4,2014-11-20,2014,OBER-0-20,ORG_SUB,13.066012
831,4,2014-11-20,2014,UNTER40-60,ORG_SUB,2.871262
831,4,2014-11-20,2014,OBER-0-20,PBT_PPM,135
831,4,2014-11-20,2014,OBER-0-20,PHCA,6.78
831,4,2014-11-20,2014,UNTER40-60,PHCA,6.7
831,4,2014-11-20,2014,OBER-0-20,ZNT_PPM,305
831,5,2019-11-20,2019,OBER-0-20,CDT_PPM,0.82
831,5,2019-11-20,2019,UNTER40-60,CDT_PPM,0.386
831,5,2019-11-20,2019,OBER-0-20,CUT_PPM,125
831,5,2019-11-20,2019,UNTER40-60,CUT_PPM,43.4
831,5,2019-11-20,2019,OBER-0-20,Hg_AMA_PPM,1.0536
831,5,2019-11-20,2019,UNTER40-60,Hg_AMA_PPM,0.5321
831,5,2019-11-20,2019,OBER-0-20,HGT_PPM,0.86
831,5,2019-11-20,2019,OBER-0-20,NIT_PPM,26.8
831,5,2019-11-20,2019,UNTER40-60,NIT_PPM,37.9
831,5,2019-11-20,2019,OBER-0-20,ORG_SUB,11.516272
831,5,2019-11-20,2019,UNTER40-60,ORG_SUB,3.236962
831,5,2019-11-20,2019,OBER-0-20,PBT_PPM,182
831,5,2019-11-20,2019,UNTER40-60,PBT_PPM,57.8
831,5,2019-11-20,2019,OBER-0-20,PHCA,6.93
831,5,2019-11-20,2019,UNTER40-60,PHCA,6.88
831,5,2019-11-20,2019,OBER-0-20,ZNT_PPM,264
831,5,2019-11-20,2019,UNTER40-60,ZNT_PPM,109
831,6,2024-12-03,2024,OBER-0-20,CDT_PPM,0.9436
831,6,2024-12-03,2024,UNTER40-60,CDT_PPM,0.5138
831,6,2024-12-03,2024,OBER-0-20,CRT_PPM,37.7813
831,6,2024-12-03,2024,UNTER40-60,CRT_PPM,38.3596
831,6,2024-12-03,2024,OBER-0-20,CUT_PPM,203.4358
831,6,2024-12-03,2024,UNTER40-60,CUT_PPM,66.2378
831,6,2024-12-03,2024,OBER-0-20,Hg_AMA_PPM,0.967033
831,6,2024-12-03,2024,UNTER40-60,Hg_AMA_PPM,0.749655
831,6,2024-12-03,2024,OBER-0-20,HGT_PPM,0.7408
